SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,ADDRESS,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE,MATCH_ADDR,MATCH_TYPE,LATITUDE,LONGITUDE
T O Smith,,T O Smith,Schooner,1881,"Islip, NY",9/17/14,1914,9,17,Barnegat Inlet,Dismasted; grounded,,,64,20.5,4.8,46,44,"Patchogue, NY",Virginia,"New York, NY",T O Smith,2,,,3600,,,Barnegat & Loveladies,N,N,#145269; Refloated; all saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
St Paul,Knoxville,American Line,Steamer,1895,"Philadelphia, PA",1/25/1896,1896,1,25,Monmouth Beach LSS S 2 mi,Stranded in fog,Steel,US,535.5,63,26.8,11629,5874,"New York, NY","Southampton, England","New York, NY",Jamison,630,,0,2750000,1800000,General,"Monmouth Beach, Long Branch, Seabright",N,Y,#116693; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cearense,Colaresense,Booth SS Co,Steamer,1891,"Barrow, England",3/16/06,1906,3,16,Island Beach LSS NNE 1.5 mi,Stranded in snow storm,Steel,England,318,40.4,25.8,2764,1790,"Liverpool, England","Para, Brazil","New York, NY",Mason,44,21,0,150000,1600000,"Sugar, rubber, hides","Island Beach, Toms River",N,N,#99302; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Duchess Orleans,,,Ship,,,1/14/1848,1848,1,14,Sandy Hook,Stranded,,,,,,798.5,,,"Havre, France","New York, NY",,30,112,,40000,750000,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Colon (1913),,Isthmian Canal Common,Steamer,1899,"Philadelphia, PA",9/20/13,1913,9,20,Monmouth Beach LSS E 1 mi,Stranded,Steel,,360,50,32.2,5667,4193,"New York, NY","Cristobal, Canal Zone","New York, NY",,,257,,650000,600000,General,Monmouth Beach,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
S O Co of NY #57,,,Barge,1892,"Chester, PA",2/20/1893,1893,2,20,Ocean City SE 2 mi,Stranded,Steel,US,241.5,37,18,1381.18,1310.14,"New York, NY",Cuba,"New York, NY",Chase,9,,0,50000,67200,Sugar,Ocean City,N,N,#116528; Refloated,See Misc File Drawer,"New York, NY",ROOFTOP,40.714269,-74.005973
Venezuela,,Red D Line,Steamer,1889,"Philadelphia, PA",2/5/1892,1892,2,5,Brigantine Shoal,Stranded in snow storm,Steel,US,303.6,40.2,20.5,2843,2037.49,"Eilmington, DE","LaGuayra, Venezuela","New York, NY",Chambers,72,,0,300000,550000,Coffee & hides,N & S Brigantine,N,N,#161616; Refloated 2/8/1892,,"New York, NY",ROOFTOP,40.714269,-74.005973
Oregon SS (1886),,Cunard SS Line,Passenger,1883,"Glasgow, Scotland",3/14/1886,1886,3,14,Fire Island Inlet SE 15 mi,Collision,Steel,,520,54,40.75,7375,,"New York, NY","Liverpool, England","New York, NY",Cottier,295,641,0,1500000,500000,"Passengers, general cargo, mail",,Y,Y,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Oregon SS (1884),,Cunard SS Line,Passenger,1883,"Glasgow, Scotland",4/19/1884,1884,4,19,Sandy Hook LSS NE 2 mi,Stranded,Steel,,520,54,40.75,7375,,"New York, NY","Liverpool, England","New York, NY",Price,295,418,0,1500000,500000,"Passengers, general cargo, mail",Sandy Hook,N,Y,#87887; Refloated w/ no assistance,,"New York, NY",ROOFTOP,40.714269,-74.005973
Martin C Smith,,George Toulane,Schooner,1875,"Jamestown, VA",4/29/1885,1885,4,29,Absecon SE 35 mi,Foundered in gale,Wood,,,,,334.67,,"Philadelphia, PA","Charleston, SC","Barren Island, NY",E A Smith,7,0,0,12000,5000,500 ton phosphate rock,,,N,#90855,,"Barren Island, NY",ROOFTOP,40.79914,-73.20488
Havel,,,Steamer,1890,"Stettin, Germany",3/7/1895,1895,3,7,Sandy Hook NE 2.5 mi,Stranded,Steel,Germany,463,51.9,34.2,6963,3639,"Bremen, Germany","Bremen, Germany","New York, NY",Gungst,,680,0,1300000,500000,Passengers & cargo,Sandy Hook Sta,N,"N ",Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
William H Van Brunt,,,Schooner,,,10/26/1886,1886,10,26,Ship Bottom S 1.5 mi,Stranded in storm,,,,,,260,,"New York, NY","Jacksonville, FL","Albany, NY",Houghwout,7,,0,12000,4000,Lumber,Ship Bottom,Y,N,Total loss,,"Albany, NY",ROOFTOP,42.614852,-73.970812
Frank Pratt Lee,,B E Etheridge,Schooner,1882,"Camden, NJ",11/6/1884,1884,11,6,Monmouth Beach E .5 mi,Stranded,,US,144.3,35,15.9,600.8,570.76,"Philadelphia, PA","Baltimore, MD","Stapleton, Staten Island, NY",W E Lee,8,0,0,35000,3000,Coal,,N,N,#120525; Refloated,,"Stapleton, Staten Island, NY",ROOFTOP,40.623632,-74.093323
Mary J Fisher,,H Fisher et al,Schooner,1866,"Philadelphia, PA",1/22/1877,1877,1,22,Little Egg Harbor Inlet,Grounded,,,101,23,7.1,140,,"Philadelphia, PA","New Bern, NC","New York, NY",Cramp,4,,0,4000,2000,Tar & tutpentine,Little Egg Harbor,N,N,#17169; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
John F Kranz (1903),,,Schooner,1871,"East Boston, MA",3/21/03,1903,3,21,Mantaloking Beach N .25 mi,Stranded,Wood,US,140.9,32,16.8,546.89,519.54,"Boston, MA","Black River, Jamaica","Flushing, NY",Harding,9,,0,5000,1600,Logwood,Manaloking,Y,Y,#75313; Total loss,,"Flushing, NY",ROOFTOP,40.76538,-73.817356
Thomas W Haven,,,Schooner,1872,"Bath, ME",6/26/1893,1893,6,26,"Monmouth Beach, Long Branch",Stranded,,,126.9,32.9,10.2,314,299,"Greenport, NY","Lambert's Point, VA","Orient, NY",W H Potter,6,0,2,10000,1200,Coal,,Y,N,Total loss,,"Orient, NY",ROOFTOP,41.14281,-72.27676
Manantice,,R D Wood & Co,Schooner,1880,,11/1886,1886,11,,Atlantic City E 60 mi,Collision,Wood,,,,,90,,"Philadelphia, PA","Augusta, GA","Patchogue, NY",David Collin,4,1,0,4500,1200,Spruce limber,,Y,N,Total loss,,"Patchogue, NY",ROOFTOP,40.76565,-73.01511
John W Broomall,,,Schooner,,,5/2/00,1900,5,2,East Rockaway Bay Debbs Inlet,Stranded,,US,,,,,,,"Bridgeport, CT","East Rockaway, NY",S James Hicks,3,0,0,1200,1014,Seed oysters,Long Beach,,N,,,"East Rockaway, NY",ROOFTOP,40.640387,-73.668224
David Milliken,,,Schooner,,"Philadelphia, PA",1/30/1878,1878,1,30,Little Egg Harbor bar,,,US,,,,145,,"Milford, DE","Baltimore, MD","Brooklyn, NY",Robinson,5,0,0,12000,1000,Coal,Little Egg LSS,N,"N ",#6945; Refloated,,"Brooklyn, NY",ROOFTOP,40.694481,-73.989319
Gypsum King,,,Tug,1906,"Port Richmond, NY",2/23/08,1908,2,23,Little Beach LBI SE 3.5 mi,Stranded w/ 2 barges,,US,151.9,29.6,18.2,581,331,"New York, NY","Norfolk, VA","New York, NY",,29,,0,220000,12000,Coal,Little Beach & Little Egg,N,N,#203583; Refloated; Towing JB King #19 & #20,,"New York, NY",ROOFTOP,40.714269,-74.005973
Phoebe Ann,,,Schooner,1835,"New York, NY",5/1/1891,1891,5,1,Little Egg LSS S .5 m,Grounded,,,59.2,18,5.1,32.1,30.5,"Patchogue, NY","Little Egg Harbor, NJ","Rockaway, NY",Pearsall,4,,0,1500,700,Oysters,Little Egg,N,N,#19861; Refloated,See Misc File Drawer,,APPROXIMATE,43.00035,-75.4999
E F C Young (1897),John N Sherwood,,Schooner,1883,"Athens, NY",5/1/1897,1897,5,1,Spermaceti Cove LSS N 1 mi,Foundered in gale,Wood,US,93.8,27.2,6.7,113.43,107.76,"Baltimore, MD","James River, VA","Verplancks Point, NY",Thomas,5,,0,5000,475,Wood,Spermaceti Cove #2,Y,N,#76443; Total loss,,"Verplancks Point, NY",ROOFTOP,41.254823,-73.958727
Emily E Johnson,,,Schooner,1883,"Prankatank River, VA",3/24/1897,1897,3,24,Monmouth Beach LSS N 1.25 mi,Stranded,Wood,,95.4,26.7,7.9,121.61,115.53,"Baltimore, MD","Cambridge, MD","Oyster Bay, NY",Keiningham,6,,0,4000,300,Oyster shells,Monmouth Beach & Seabright,Y,N,#135712; Total loss,,"Oyster Bay, NY",ROOFTOP,40.86897,-73.53114
Mary Wood,,,Schooner,,,11/14/1892,1892,11,14,Barnegat Shoal,Grounded,,,,,,35,,"Patchogue, NY",Barnegat Bay,"Princess Bay, LI, NY",Rogers,3,,0,1500,300,Oysters,,N,N,Refloated,,"Princess Bay, LI, NY",ROOFTOP,43.22645,-75.466922
A L Lee (1897),,,Schooner,1884,"Mays Landing, NJ",3/25/1897,1897,3,25,Ocean City LSS E .5 mi,Stranded,Wood,US,83,27,5.6,87,83,"Somers Point, NJ","Somers Point, NJ","Haverstraw, NY",Gaskill,5,,0,5000,0,None,Ocean City,N,N,#106301; Refloated,,"Haverstraw, NY",ROOFTOP,41.191694,-73.964933
Salpeen,,Robert M Riddle,Yacht,1897,,7/13/01,1901,7,13,"Seabright, NJ","Collision w/ ""Benefactor""",Wood,US,,,,29.24,,"Philadelphia, PA","Essington, PA","Glen Cove, NY",Robert M Riddle,7,1,1,12000,,None,,N,N,#116759; Partial damage,,"Glen Cove, NY",ROOFTOP,40.86232,-73.63374
General Taylor,,,Schooner,,,1857,1857,,,Barnegat E 10 mi,Wrecked,,US,,,,,,,"Baltimore, MD","Hudson, NY",,,,,5000,,,,Y,N,Crew rescued,,"Hudson, NY",ROOFTOP,42.184313,-73.742997
Alva Cape,,Alva SS Co,Tanker,1953,"Greenock, Scotland",6/16/66,1966,6,16,"Kill van Kull, NY","Collision w/ ""Texaco Massachusetts""",Steel,England,546,69,30,11252,,"London, England",,"Kill van Kull, NY",,,,33,,,"143,000 bbls naptha",,Y,N,Exploded; Later scuttled at sea,,"Kill van Kull, NY",ROOFTOP,43.20726,-75.723108
Louisa (1844),,,Schooner,,,11/19/1844,1844,11,19,Barnegat South,Grounded & bilged,,,,,,,,,"Philadelphia, PA","Albany, NY",Ingersoll,5,,2,,,Coal,,Y,N,Total loss,,"Albany, NY",ROOFTOP,42.614852,-73.970812
John T Long,,,Schooner,1864,"Frankford, DE",12/7/1886,1886,12,7,Seabright LSS N 1.25 mi,Stranded,,,54.4,20,4.2,33.08,31.48,"New York, NY","Long Island, NY","Rockaway, NY",Sullivan,0,,0,800,,,Seabright #3,Y,N,#13727; Total loss; Washed ashore w/ no crew,,,APPROXIMATE,43.00035,-75.4999
Carlotta (1867),,,Schooner,,,6/27/1867,1867,6,27,Squan Inlet,Foundered,,,,,,,,,"Providence, RI","Port Richmond, NY",Morton,5,,0,,,Coal,,Y,N,Total loss,,"Port Richmond, NY",ROOFTOP,40.633159,-74.136532
S C Tryon,,,Schooner,1873,"Greenport, NY",2/10/04,1904,2,10,Five Fathom Bank Lightship ESE 2 mi,Caught in ice,Wood,US,140,32,14.7,423,373,"Boston, MA","Richmond, VA","Long Island City, NY",,7,,1,,,Railroad ties,,Y,Y,Total loss,,"Long Island City, NY",ROOFTOP,40.744622,-73.934502
Adelaide (1841),,,Schooner,,,11/14/1841,1841,11,14,Brigantine Beach,Leaking,,,,,,,,"Tuckerton, NJ","Tuckerton, NJ","Sing Sing, NY",,,,,,,Coal,,Y,"N ",Sank,,,APPROXIMATE,43.00035,-75.4999
Southern Sword,,Martin Marine Trans Co,Barge,1918,"Superior, WI",3/18/46,1946,3,18,Fenwick Island,Foundered,Steel,US,251,43.5,24.2,2344,2180,"Philadelphia, PA","Norfolk, VA","Newtown Creek, NY",,,,0,,,4137 ton coal,,Y,Y,"In tow of ""P F Martin""",,"Newtown Creek, NY",ROOFTOP,40.888349,-72.503742
Silver Spray,,,Sloop,,,12/23/1872,1872,11,23,Cape May Beach,Foundered,,,,,,,,,Virginia,"Islip, NY",,,,,,,Oysters,,,N,,,"Islip, NY",ROOFTOP,40.72813,-73.217871
Terence,,"Liverpool, Brazil, River Platt SS Co",Steamer,1902,"Glasgow, Scotland",10/7/03,1903,10,7,Highland Beach near Seabright,Stranded,Steel,,390.2,50.2,26.8,4309,2690,"Liverpool, England",Brazil,"New York, NY",Grimes,75,,0,700000,500000,"Coffee, hides, mail, passengers",,N,"N ",Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Elizabeth Ann,,,Sloop,,,5/6/1851,1851,5,6,Cape May,In distress; Abandoned,,,,,,,,,"Rockaway, NY","Rockaway, NY",,4,,,,,,,Y,N,"Total loss; Crew rescued by ""Josiah Bradley""",,,APPROXIMATE,43.00035,-75.4999
Charles A Keeler,,,Schooner,,"Albany, NY",6/2/1840,1840,6,2,Squan Beach,Grounded,,,,,,,,"Albany, NY","Philadelphia, PA","Albany, NY",,,,,,,,,,N,,,"Albany, NY",ROOFTOP,42.614852,-73.970812
Mola,,J F Whitney & Co,Schooner,1892,"Black River, NB",4/20/01,1901,4,20,Chadwick LSS S 1.25 mi,Grounded in fog,Wood,England,137.8,32.6,11.1,367,,"St John, NB, Canada ","Buenos Aires, Arg","New York, NY",McKeller,8,,0,12000,64000,"Hides, wool",Chadwick & Toms River,N,N,#100091; Refloated; partial cargo loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
South American,,Henry Hastings,Ship,1876,"Boston, MA",4/1/1886,1886,4,1,Sandy Hook Swash Channel,Stranded,,US,227.5,41.6,25.2,1762,,"Boston, MA","Hong Kong, China","New York, NY",Fowler,28,0,0,100000,500000,Tea & merchandise,,N,N,#115491; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sindia,,Anglo-American Oil Co,Bark,1887,"Belfast, Ireland",12/15/01,1901,12,15,"Ocean City, NJ",Stranded,Steel,England,329.3,45.2,26.7,3068,2929,"London, England","Kobe, Japan","New York, NY",McKenzie,33,,0,100000,500000,General cargo from Japan,Ocean City,Y,Y,#93757; GSN# 20081793; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Martha S Bement,,Jacob E Ridgeway,Schooner,1881,"Bath, ME",1/31/1883,1883,1,31,Squan Beach,Dismasted in storm,,,,,,455.48,,"Philadelphia, PA","Para, Brazil","New York, NY",J C Townsend,8,,0,30000,500000,"Rubber, etc",,N,N,#91359,,"New York, NY",ROOFTOP,40.714269,-74.005973
American (1909),,,Freighter,1900,"Chester, PA",12/21/09,1909,12,21,Brigantine LSS SE 4 mi,Stranded,Steel,,406.8,51.1,30.3,5591,3643,"New York, NY","Puerto, Mexico","New York, NY",,46,,,500000,400000,General,Brigantine,,N,#107591,,"New York, NY",ROOFTOP,40.714269,-74.005973
L'Amerique,,General Transportation Co,Steamer,1865,"St Nazaire, France",1/7/1877,1877,1,7,"Seabright, NJ",Stranded,Iron,France,400,44,29,4500,,"La Havre, France","La Havre, France","New York, NY",Ponzolz,,192,3,200000,400000,General,Sta #3 & 4,N,Y,"Partial loss, Refloated",,"New York, NY",ROOFTOP,40.714269,-74.005973
Perserverance (1815),,,Brig,,,12/25/1815,1815,12,25,Pecks Beach,Stranded during storm,,,,,,,,"La Havre, France","LeHavre, France","New York, NY",Snow,7,10,13,,400000,"Rich goods, china, glass, silks",,Y,N,Total loss,See Misc File Drawer,"New York, NY",ROOFTOP,40.714269,-74.005973
Clara (1906),,,Steamer,1903,"Port Glasgow, England",12/14/06,1906,12,14,Mantaloking LSS S 1 mi,Stranded,Steel,Austria,330.5,48.1,16,3952,2541,"Trieste, Austria",Mediterranean Ports,"New York, NY",Zar,29,,0,150000,350000,General,Mantoloking & Chadwick,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Frederica (1914),,,Steamer,1899,,4/28/14,1914,4,28,Harvey Cedars SSE 1 mi,Grounded,Steel,Austria,340,46,17.9,3530,2261,"Trieste, Austria","Cienfuegos, Cuba","New York, NY",,28,0,0,80000,330000,Sugar,Harvey Cedars,N,"N ",Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Claverdale,,Claverdale SS Co,Steamer,1899,"Stockton, England",2/2/02,1902,2,2,South Brigantine LSS SE 2 mi,Stranded in fog,Steel,England,330,45.2,18,3307,2122,"London, England",China,"New York, NY",W Harding,28,,0,200000,300000,Tea & general oriental merchandise,Brigantine & S Brigantine,N,N,#110069; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Isaac Webb,,C H Marshall,Packet,1850,"New York, NY",11/19/1868,1868,11,19,"Sandy Hook Light Outer Middle Ground ",Stranded in gale,,US,185,42.6,22,1497,,"New York, NY","Liverpool, England","New York, NY",,,400,,,300000,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Stratton Audley,,Glen & Co LTD,Ship,1864,"Glasgow, Scotland",3/23/1869,1869,3,23,Sandy Hook Romer Shoal,Stranded in snow storm,Iron,England,205.5,34.6,21.1,998,,"Liverpool, England","Calcutta, India","New York, NY",,35,,,,300000,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Pliny,,"Liverpool, Brazil, River Platt SS Co",Steamer,1878,"Barrow, England",5/13/1882,1882,5,13,Deal Beach,Stranded,Iron,England,288,33.3,24,1671,1060,"Liverpool, England","Rio de Janiero, Brazil","New York, NY",Robert Mitchell,36,25,0,200000,258000,"Coffee, hides, etc","Long Branch #5, Shark River #7",Y,Y,#1327; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Seminole (1908),,Clyde SS Co,Steamer,1886,"Philadelphia, PA",5/25/08,1908,5,25,Squan Beach LSS S 1.25 mi,Stranded in fog,Iron,,264,43,18.8,2556,1966,"New York, NY","Santo Domingo, Dom Rep","New York, NY",,16,,0,200000,250000,"Hides, coffee, etc",Squan Beach & Bay Head,N,N,"#116132; Refloated by tug ""Relief""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Francis (1897),,New Bedford interests,Yarder 3 skysail,1885,"Bath, ME",5/8/1897,1897,5,8,Little Egg LSS SE 2 mi,Burned,Wood,US,231,43.4,26.6,2077,1973.53,"New Bedford, MA","San Francisco, CA","New York, NY",Smith,25,0,0,50000,250000,"General/ 4,000 bbls. of wine",Little Egg Harbor,Y,N,#120628; via Cape Horn,,"New York, NY",ROOFTOP,40.714269,-74.005973
Craigneuk,,Earn SS Co,Steamer,1898,"Port Glasgow, England",4/27/04,1904,4,27,Brigantine Shoal SE 2.5 mi,Stranded,Steel,England,314.4,44,20.8,2515,1605,"Leith, England","Matanzas, Cuba","New York, NY",Colvin,27,,0,200000,200000,Sugar,S Brigantine & Atlantic City,N,N,#109590; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
